gram,decade,word,count
unigram,1960,love,1176
unigram,1960,baby,783
unigram,1960,oh,546
unigram,1960,know,507
unigram,1960,got,424
unigram,1960,come,408
unigram,1960,yeah,387
unigram,1960,get,342
unigram,1960,see,334
unigram,1960,like,333
unigram,1960,girl,322
unigram,1960,let,308
unigram,1960,time,305
unigram,1960,go,305
unigram,1960,say,300
unigram,1960,never,296
unigram,1960,cant,284
unigram,1960,gonna,256
unigram,1960,little,254
unigram,1960,one,248
unigram,1960,want,245
unigram,1960,way,239
unigram,1960,need,227
unigram,1960,make,217
unigram,1960,good,216
unigram,1960,hey,215
unigram,1960,tell,214
unigram,1960,day,208
unigram,1960,back,208
unigram,1960,la,203
unigram,1960,take,195
unigram,1960,man,195
unigram,1960,well,190
unigram,1960,aint,188
unigram,1960,mind,185
unigram,1960,world,184
unigram,1960,cause,182
unigram,1960,heart,179
unigram,1960,away,174
unigram,1960,long,166
unigram,1960,sweet,160
unigram,1960,night,159
unigram,1960,ive,157
unigram,1960,mine,153
unigram,1960,theres,152
unigram,1960,right,151
unigram,1960,feel,147
unigram,1960,home,146
unigram,1960,think,143
unigram,1960,much,142
unigram,1960,life,141
unigram,1960,keep,139
unigram,1960,said,135
unigram,1960,could,135
unigram,1960,would,133
unigram,1960,youll,131
unigram,1960,help,131
unigram,1960,find,131
unigram,1960,eyes,131
unigram,1960,look,130
unigram,1960,wont,129
unigram,1960,thing,126
unigram,1960,hold,126
unigram,1960,thats,125
unigram,1960,na,123
unigram,1960,please,119
unigram,1960,gone,119
unigram,1960,dig,113
unigram,1960,every,112
unigram,1960,lovin,110
unigram,1960,give,109
unigram,1960,better,108
unigram,1960,ever,105
unigram,1960,around,105
unigram,1960,shes,104
unigram,1960,wanna,99
unigram,1960,stop,98
unigram,1960,people,97
unigram,1960,yes,96
unigram,1960,things,95
unigram,1960,really,95
unigram,1960,youve,94
unigram,1960,woman,93
unigram,1960,soul,92
unigram,1960,place,92
unigram,1960,made,92
unigram,1960,comes,90
unigram,1960,wait,89
unigram,1960,still,89
unigram,1960,hear,87
unigram,1960,babe,86
unigram,1960,true,85
unigram,1960,id,84
unigram,1960,cry,82
unigram,1960,ah,82
unigram,1960,live,81
unigram,1960,another,80
unigram,1960,name,77
unigram,1960,lonely,77
unigram,1960,hes,77
unigram,1970,love,2946
unigram,1970,oh,1307
unigram,1970,baby,1266
unigram,1970,get,1245
unigram,1970,know,1173
unigram,1970,got,1121
unigram,1970,like,1019
unigram,1970,come,815
unigram,1970,time,764
unigram,1970,yeah,746
unigram,1970,cant,706
unigram,1970,let,645
unigram,1970,gonna,644
unigram,1970,go,636
unigram,1970,way,628
unigram,1970,see,624
unigram,1970,want,613
unigram,1970,one,609
unigram,1970,take,608
unigram,1970,say,596
unigram,1970,never,588
unigram,1970,back,575
unigram,1970,make,569
unigram,1970,night,558
unigram,1970,good,556
unigram,1970,right,524
unigram,1970,away,490
unigram,1970,feel,482
unigram,1970,little,464
unigram,1970,cause,458
unigram,1970,well,446
unigram,1970,day,435
unigram,1970,need,417
unigram,1970,give,416
unigram,1970,tell,415
unigram,1970,ive,414
unigram,1970,girl,408
unigram,1970,said,401
unigram,1970,man,380
unigram,1970,keep,371
unigram,1970,dance,356
unigram,1970,aint,356
unigram,1970,around,355
unigram,1970,wanna,351
unigram,1970,thats,350
unigram,1970,could,350
unigram,1970,la,347
unigram,1970,home,343
unigram,1970,life,342
unigram,1970,ooh,337
unigram,1970,world,333
unigram,1970,find,325
unigram,1970,wont,320
unigram,1970,long,317
unigram,1970,sweet,310
unigram,1970,hey,310
unigram,1970,mind,297
unigram,1970,theres,285
unigram,1970,woman,282
unigram,1970,think,282
unigram,1970,eyes,274
unigram,1970,thing,272
unigram,1970,heart,272
unigram,1970,ya,266
unigram,1970,much,255
unigram,1970,yes,247
unigram,1970,would,247
unigram,1970,boogie,247
unigram,1970,us,246
unigram,1970,things,244
unigram,1970,gone,237
unigram,1970,da,236
unigram,1970,always,234
unigram,1970,people,232
unigram,1970,still,227
unigram,1970,shes,223
unigram,1970,every,223
unigram,1970,stop,221
unigram,1970,look,219
unigram,1970,id,218
unigram,1970,leave,216
