name,artist,year
the jolly green giant,the kingsmen,1965
the seventh son,johnny rivers,1965
im henery the eighth i am,hermans hermits,1965
ballad of the green berets,ssgt barry sadler,1966
96 tears,  the mysterians,1966
devil with a blue dress ongood golly miss molly,mitch ryder  the detroit wheels,1966
crying time,ray charles,1966
no matter what shape your stomachs in,the tbones,1966
oh how happy,the shades of blue,1966
6345789 soulsville usa,wilson pickett,1966
silence is golden,the tremeloes,1967
little ole man uptight everythings alright,bill cosby,1967
little green apples,o c smith,1968
goin out of my headcant take my eyes off you,the lettermen,1968
shoobedoobedoodaday,stevie wonder,1968
scarborough faircanticle,simon  garfunkel,1968
aquariuslet the sunshine in,the 5th dimension,1969
get back,the beatles with billy preston,1969
baby i love you,andy kim,1969
hawaii fiveo,the ventures,1969
twentyfive miles,edwin starr,1969
things id like to say,new colony six,1969
ooh child,five stairsteps,1970
love on a twoway street,the moments,1970
greeneyed lady,sugarloaf,1970
still water love,the four tops,1970
united we stand,the brotherhood of man,1970
somebodys been sleeping,100 proof aged in soul,1970
come saturday morning,the sandpipers,1970
without love there is nothing,tom jones,1970
maggie mayreason to believe,rod stewart,1971
its too latei feel the earth move,carole king,1971
uncle albertadmiral halsey,paul  linda mccartney,1971
superstar,murray head  the trindad singers,1971
ive found someone of my own,the free movement,1971
chickaboom dont ya jes love it,daddy dewdrop,1971
yoyo,the osmonds,1971
beginningscolour my world,chicago,1971
another dayoh woman oh why,paul mccartney,1971
shes not just another woman,8th day,1971
never ending song of love,delaney  bonnie  friends,1971
easy loving,freddie hart,1971
stickup,the honey cone,1971
i ami said,neil diamond,1971
somos novios its impossible,perry como,1971
oh girl,the chilites,1972
my dingaling,chuck berry,1972
outaspace,billy preston,1972
halfbreed,cher,1973
monster mash,bobby boris pickett and the cryptkickers,1973
jambalaya on the bayou,blue ridge rangers,1973
daisy a day,jud strunk,1973
the locomotion,grand funk railroad,1974
band on the run,paul mccartney and wings,1974
takin care of business,bachmanturner overdrive,1974
helen wheels,paul mccartney and wings,1974
the hustle,van mccoy  the soul city symphony,1975
dynomite,bazuka,1975
the way we weretry to remember,gladys knight  the pips,1975
one man womanone woman man,paul anka  odia coates,1975
shalala make me happy,al green,1975
bad blood,neil sedaka  elton john,1975
you aint seen nothing yet,bachmanturner overdrive,1975
get dancin,discotex and the sexolettes,1975
december 1963 oh what a night,the four seasons,1976
a fifth of beethoven,walter murphy  the big apple band,1976
convoy,c w mccall,1976
baby face,wing and a prayer fife and drum corps,1976
disco duck,rick dees  his cast of idiots,1976
gonna fly now,bill conti deetta little and nelson pigford,1977
swayin to the music slow dancing,johnny rivers,1977
smoke from a distant fire,sanfordtownsend band,1977
star wars themecantina band,meco,1977
jeans on,lord david dundas,1977
devils gun,cj  company,1977
baby come back,player,1978
we will rock youwe are the champions,queen,1978
falling,leblanc  carr,1978
