year,word,count
1965,10,1
1965,3,1
1965,9,7
1965,aah,1
1965,ache,1
1965,across,1
1965,add,1
1965,advice,8
1965,affection,1
1965,afraid,1
1965,ago,4
1965,ah,30
1965,aint,47
1965,alabama,1
1965,almost,5
1965,alone,5
1965,along,8
1965,already,2
1965,alright,7
1965,although,2
1965,always,14
1965,angel,1
1965,angry,1
1965,another,12
1965,anybody,1
1965,anymore,4
1965,anyone,6
1965,anything,2
1965,anytime,1
1965,anywhere,2
1965,apart,2
1965,appear,1
1965,appreciate,3
1965,arms,18
1965,around,21
1965,artist,1
1965,ask,3
1965,asked,2
1965,atmosphere,2
1965,aware,1
1965,away,30
1965,awayi,1
1965,awhile,1
1965,b,3
1965,babe,35
1965,baby,166
1965,babys,1
1965,babyyou,1
1965,back,48
1965,bad,1
1965,bag,1
1965,band,1
1965,beach,1
1965,bear,1
1965,beat,5
1965,beautiful,3
1965,become,3
1965,bed,3
1965,bee,2
1965,bees,9
1965,beg,1
1965,beggin,4
1965,begin,1
1965,behind,4
1965,bei,1
1965,bein,1
1965,believe,26
1965,believer,1
1965,bell,1
1965,bells,1
1965,belonged,1
1965,belongs,3
1965,bent,1
1965,beside,1
1965,best,11
1965,better,19
1965,beware,3
1965,big,10
1965,billboard,1
1965,billy,1
1965,birds,9
1965,birthday,2
1965,blame,1
1965,blind,1
1965,block,1
1965,blow,4
1965,blowing,1
1965,blue,15
1965,blues,9
1965,bob,2
1965,bodies,1
1965,body,6
1965,book,2
1965,born,3
1965,boss,1
1965,bother,1
1965,bottle,2
1965,bottles,1
1965,bought,2
1965,bound,2
1965,bout,13
1965,boy,21
1965,boyfriends,1
1965,boys,2
1965,brand,3
1965,break,14
1965,breaking,1
1965,breaks,1
1965,breath,1
1965,breeze,2
1965,bridge,1
1965,bright,3
1965,brighter,2
1965,bring,16
1965,bringing,2
1965,brings,3
1965,broke,4
1965,brothers,1
1965,brown,6
1965,brush,1
1965,buddy,1
1965,bullets,1
1965,bunch,5
1965,burning,1
1965,bury,1
1965,button,1
1965,buy,1
1965,byamandah,1
1965,california,9
1965,call,6
1965,called,3
1965,calling,1
1965,calls,1
1965,calm,1
1965,came,3
1965,candy,13
1965,cannot,1
1965,cant,56
1965,car,1
1965,care,22
1965,carried,1
1965,cast,5
1965,cat,5
1965,catch,16
1965,cats,1
1965,caught,3
1965,cause,41
1965,cents,2
1965,chain,1
1965,chance,3
1965,change,3
1965,changed,6
1965,charms,1
1965,chase,5
1965,cheap,1
1965,cheat,1
1965,cheating,1
1965,chicks,1
1965,children,2
1965,chills,1
1965,china,1
1965,choked,1
1965,choose,1
1965,chosen,1
1965,chrome,1
1965,city,11
1965,claim,3
1965,clean,1
1965,clear,2
1965,climb,3
1965,clock,1
1965,close,6
1965,closed,2
1965,closer,6
1965,clothes,2
1965,clown,3
1965,coast,2
1965,code,1
1965,cold,4
